"codreg";"subcreg";"coddist";"codserv";"tiposerv";"nomserv";"dire";"dccion";"telef";"email";"area";"unrocons";"unroficha";"activo";"unrolabo";"codigoesta";"observ";"desdemes";"desdeano";"latitud";"longitud";"receta"
"06";".";"008";"319";"PS";"P.S. TEMBIAPÓ RENDÁ";"";"";"";"";"1";"0";"0";"1";"0";"06008319";"                ";"1";"2000";NULL;NULL;"2"
"07";".";"001";"372";"PS";"P.S. MBOI CAE";"";"";"";"";"1";"0";"0";"1";"0";"07001372";"                ";"1";"2000";NULL;NULL;"2"
"01";".";"005";"327";"PS";"P.S. YVYPÉ";"";"";"";"";"1";"0";"0";"2";"0";"01005327";"                ";"1";"2000";NULL;NULL;"2"
"08";".";"005";"410";"PS";"P.S. POTRERITO YBATE";"";"";"";"";"1";"0";"0";"2";"0";"08005410";"          SIMESE N° 1413/2013      ";"1";"2000";NULL;NULL;"2"
"10";".";"011";"A17";"IP";"CLINICA MINGA GUAZU";"ELIZABET CORONEL";"";"";"";"1";"0";"0";"1";"0";"10011A17";"SIMESE N 127809/17";"10";"2017";NULL;NULL;"2"
"01";".";"007";"536";"DISP";"D.M. CERRO CUPÉ";"";"";"";"";"1";"0";"0";"1";"0";"01007536";"                ";"1";"2000";NULL;NULL;"2"
"09";".";"003";"358";"USF";"USF- ACHOTEY";"";"";"";"";"1";"0";"0";"2";"0";"09003358";"Expte. N° 476/2013
SIMESE N° 1729/2013";"4";"2013";NULL;NULL;"2"
"11";".";"002";"536";"PS";"RED MUNICIPAL";NULL;"";NULL;NULL;"1";"1";"0";"1";"0";"11002536";NULL;"1";"2000";NULL;NULL;"2"
"04";".";"007";"351";"USF";"USF- YROYSÁ";"";"";"";"";"1";"0";"0";"2";"0";"04007351";"";"1";"2000";NULL;NULL;"2"
"02";"SUR";"008";"365";"USF";"USF- SANTA BARBARA";"";"";"";"";"1";"0";"0";"2";"0";"02008365";"Expte. Nº 113/2013
SIMESE N° 1572/2013";"2";"2013";NULL;NULL;"2"
"01";".";"001";"553";"DISP";"D.M. YBY MARANEY";".";".";".";".";"1";"0";"0";"1";"0";"01001553";"          pertenece al distrito 1 a partir del año 2010      ";"1";"2000";NULL;NULL;"2"
"01";".";"005";"313";"PS";"P.S. COLONIA JOSÉ FÉLIX LÓPEZ";"";"";"";"";"1";"0";"0";"2";"0";"01005313";"          SIMESE 54586/2015      ";"1";"2000";NULL;NULL;"2"
"17";".";"002";"344";"DISP";"D.M. ISLA ALTA";"";"";"";"";"1";"0";"0";"2";"0";"17002344";"                ";"1";"2000";NULL;NULL;"2"
"16";".";"002";"979";"PS";"P.S. MARISCAL ESTIGARRIBIA";"";"";"";"";"1";"0";"0";"2";"0";"16002979";"                ";"1";"2000";NULL;NULL;"2"
"07";".";"009";"359";"PS";"P.S. 7 DE AGOSTO";"";"";"";"";"1";"0";"0";"2";"0";"07009359";"                S. 141478/17 ";"1";"2000";NULL;NULL;"2"
"16";".";"002";"102";"CS";"LOMA PLATA (HOSPITAL PRIVADO)";NULL;"";NULL;NULL;"1";"0";"0";"2";"0";"16002102";NULL;"1";"2000";NULL;NULL;"2"
"16";".";"002";"322";"HP";"HOSPITAL FILADELFIA (HOSPITAL PRIVADO)";NULL;"";NULL;NULL;"1";"0";"0";"2";"0";"16002322";NULL;"1";"2000";NULL;NULL;"2"
"07";".";"009";"327";"PS";"P.S. MAESTRO FERMÍN LÓPEZ";"";"";"";"";"1";"0";"0";"1";"0";"07009327";"                ";"1";"2000";NULL;NULL;"2"
"02";"NOR";"013";"366";"USF";"USF- VILLA DEL ROSARIO";"";"";"";"";"1";"0";"0";"2";"0";"02013366";"Expte. Nº 113/2013.
Expte. N° 753/13, pasa a pertenecer a SPS. SIMESE N° 7382/2014";"2";"2013";NULL;NULL;"2"
"16";".";"002";"423";"DISP";"CLINICA MOVIL";NULL;"";NULL;NULL;"1";"0";"0";"2";"0";"16002423";NULL;"1";"2000";NULL;NULL;"2"
"16";".";"002";"607";"AI";"CLINICA INDIGENA FILADELFIA (C. PRIVADO)";NULL;"";NULL;NULL;"1";"0";"0";"2";"0";"16002607";NULL;"1";"2000";NULL;NULL;"2"
"16";".";"002";"609";"PS";"MISIÓN NUEVAS TRIBUS (CAMPO LORO)-TUNUC";NULL;"";NULL;NULL;"1";"0";"0";"2";"0";"16002609";NULL;"1";"2000";NULL;NULL;"2"
"15";".";"001";"609";"DISP";"LENGUA ASCIM (YALVE SANGA)(POZO AMARILLO)";"";"";"";"";"1";"0";"0";"2";"0";"15001609";"";"1";"2000";NULL;NULL;"2"
"03";".";"014";"707";"IPS";"IPS- PS PIRIBEBUY";"";"";"";"";"1";"0";"0";"1";"0";"03014707";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"03";".";"016";"708";"IPS";"IPS- PS SAN BERNARDINO";"";"";"";"";"1";"0";"0";"1";"0";"03016708";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"04";".";"001";"701";"IPS";"IPS- HR VILLARRICA";"";"";"";"";"1";"0";"0";"1";"0";"04001701";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"17";".";"003";"334";"PS";"P.S. PALMAR DE LAS ISLAS";"";"";"";"";"1";"0";"0";"2";"0";"17003334";"          SIMESE 70887/16      ";"1";"2000";NULL;NULL;"2"
"18";".";"030";"803";"HE";"HOSPITAL DE CLINICAS";"";"DR MONTERO Y LA GERENZA";"";"";"1";"0";"0";"1";"0";"18030803";"Expte. N° 822/13";"1";"2000";NULL;NULL;"2"
"03";".";"018";"709";"IPS";"IPS- PS TOBATI";"";"";"";"";"1";"0";"0";"1";"0";"03018709";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"16";".";"004";"321";"PS";"P.S. SAN AGUSTIN";"";"";"";"";"1";"0";"0";"2";"0";"16004321";"                ";"1";"2000";NULL;NULL;"2"
"01";".";"005";"553";"DM";"ASENTAMIENTO YBY MARANEY";"";"";"";"";"1";"0";"0";"2";"0";"01005553";NULL;"1";"2000";NULL;NULL;"2"
"04";".";"001";"369";"PS";"CLINICA PERIFERICA SAN MIGUEL";"";"";"";"";"1";"0";"0";"2";"0";"04001369";NULL;"1";"2000";NULL;NULL;"2"
"05";".";"001";"A25";"HP";"URGENCIA MEDICA CORAZON DE JESUS";"";"";"";"";"0";"0";"0";"1";"0";"05001A25";"digies@mspbs.gov.py";"1";"2020";"0.0000000";"0.0000000";"0"
"02";"NOR";"002";"322";"PS";"PS BARRANQUERITA";"";"";"";"";"1";"0";"0";"2";"0";"02002322";"                ";"1";"2000";NULL;NULL;"2"
"02";"NOR";"003";"324";"PS";"PS JEJUI";"";"";"";"";"1";"0";"0";"2";"0";"02003324";"          SIMESE N° 1689/2013      ";"1";"2000";NULL;NULL;"2"
"02";"NOR";"003";"332";"PS";"PS COLONIA FELICIDAD";"";"";"";"";"1";"0";"0";"2";"0";"02003332";"          SIMESE N° 1689/2013      ";"1";"2000";NULL;NULL;"2"
"07";".";"014";"959";"PS";"P.S. HOHENAU";"";"";"";"";"1";"0";"0";"2";"0";"07014959";"                ";"1";"2000";NULL;NULL;"2"
"07";".";"020";"339";"PS";"P.S. SANTA CRUZ";"";"";"";"";"1";"0";"0";"2";"0";"07020339";"                ";"1";"2000";NULL;NULL;"2"
"07";".";"021";"349";"PS";"P.S. YANQUÍ CUÉ I";"";"";"";"";"1";"0";"0";"2";"0";"07021349";"                ";"1";"2000";NULL;NULL;"2"
"07";".";"021";"350";"PS";"P.S. YANQUÍ CUÉ II";"";"";"";"";"1";"0";"0";"2";"0";"07021350";"                ";"1";"2000";NULL;NULL;"2"
"07";".";"021";"352";"PS";"P.S. YANQUÍ CUÉ IV";"";"";"";"";"1";"0";"0";"2";"0";"07021352";"                ";"1";"2000";NULL;NULL;"2"
"07";".";"022";"362";"PS";"P.S. TRINIDAD CONAVI";"";"";"";"";"1";"0";"0";"2";"0";"07022362";"                ";"1";"2000";NULL;NULL;"2"
"08";".";"007";"312";"PS";"P.S. POTRERO SAN ANTONIO";"";"";"";"";"1";"0";"0";"2";"0";"08007312";"                ";"1";"2000";NULL;NULL;"2"
"09";".";"017";"345";"PS";"P.S. SOLANO ESCOBAR";"";"";"";"";"1";"0";"0";"1";"0";"09017345";"                ";"1";"2000";NULL;NULL;"2"
"11";".";"004";"361";"PS";"P.S. TAYAZUAPE";"";"";"";"";"1";"0";"0";"2";"0";"11004361";"                ";"1";"2000";NULL;NULL;"2"
"11";".";"006";"529";"PS";"P.S. KM 32";"";"";"";"";"1";"0";"0";"2";"0";"11006529";"          SIMESE 1381/2013      ";"1";"2000";NULL;NULL;"2"
"11";".";"006";"531";"PS";"P.S. CONAVI 1 KM 28";"";"";"";"";"1";"0";"0";"2";"0";"11006531";"                ";"1";"2000";NULL;NULL;"2"
"18";".";"030";"216";"HE";"CENTRO DE PREVENCION DE LA CEGUERA";"";"";"";"";"1";"0";"0";"1";"0";"18030216";"                ";"1";"2000";NULL;NULL;"2"
"10";".";"004";"A19";"IP";"CLINICA VIRGEN DE LOURDES";"STELA LOPEZ GAUTO";"";"";"";"1";"0";"0";"1";"0";"10004A19";"SIMESE N 127809/17";"10";"2017";NULL;NULL;"2"
"17";".";"003";"336";"PS";"P.S. GENERAL ADRIAN JARA";"";"";"";"";"1";"0";"0";"2";"0";"17003336";"          SIMESE 70887/16      ";"1";"2000";NULL;NULL;"2"
"17";".";"003";"337";"PS";"P.S. SIERRA LEÓN";"";"";"";"";"1";"0";"0";"2";"0";"17003337";"          SIMESE 70887/16      ";"1";"2000";NULL;NULL;"2"
"16";".";"004";"337";"PS";"P.S. PIRIZAL";"";"";"";"";"1";"0";"0";"2";"0";"16004337";"                ";"1";"2000";NULL;NULL;"2"
"07";".";"008";"370";"PS";"P.S. CURUÑAY";"";"";"";"";"1";"15";"0";"2";"0";"07008370";"                S. 141478/17 ";"1";"2000";NULL;NULL;"2"
"16";".";"004";"603";"PS";"P.S. YISHI NAT CHAT";"";"";"";"";"1";"0";"0";"2";"0";"16004603";"                ";"1";"2000";NULL;NULL;"2"
"16";".";"004";"976";"PS";"P.S. PEDRO P. PEÑA";"";"";"";"";"1";"0";"0";"2";"0";"16004976";"                ";"1";"2000";NULL;NULL;"2"
"16";".";"004";"977";"PS";"P.S. POZO HONDO-BOQUERÓN";"";"";"";"";"1";"0";"0";"2";"0";"16004977";"                ";"1";"2000";NULL;NULL;"2"
"16";".";"099";"201";"CS";"C.S. LA PATRIA";"";"";"";"";"1";"0";"0";"2";"0";"16002201";"                ";"1";"2000";NULL;NULL;"2"
"16";".";"099";"411";"DISP";"D.M. PYCASÚ";"";"";"";"";"1";"0";"0";"2";"0";"16002411";"                ";"1";"2000";NULL;NULL;"2"
"07";".";"099";"388";"UM";"U.M. ATENCIÓN A VULNERABLES";"";"";"";"";"1";"209";"0";"1";"0";"07099388";"                ";"3";"2011";NULL;NULL;"2"
"04";".";"007";"317";"USF";"USF- SAN PEDRO 13 LINEA - YROYSA";".";".";".";".";"1";"0";"0";"2";"0";"04007317";"SE AGREGA EL NOMBRE  SAN PEDRO, segun conversacion con la lic. Ramonita /se inactiva s/ Ramonita 10/08/10";"1";"2010";NULL;NULL;"2"
"15";".";"007";"609";"DI";"D.I. - YALVE SANGA";"";"";"";"";"1";"0";"0";"1";"0";"15007609";"";"1";"2010";NULL;NULL;"2"
"15";".";"007";"314";"DI";"CLINICA MOVIL";"";"";"";"";"1";"509";"0";"1";"0";"15007314";"";"1";"2010";NULL;NULL;"2"
"09";".";"015";"216";"USF";"USF- PEGUAHO";"";"";"";"";"1";"0";"0";"2";"0";"09015216";"SIMESE N° 1729/2013";"9";"2010";NULL;NULL;"2"
"18";".";"030";"103";"USF";"USF- 3 DE FEBRERO I - SAN FELIPE";"";"";"";"";"1";"0";"0";"2";"0";"18030103";"Expte. N° 288/2011. SOLICITADO EN FORMA VERBAL POR CAROLINA ALVAREZ-APS";"8";"2011";NULL;NULL;"2"
"03";".";"019";"217";"USF";"USF- LOMA HOVY";"";"";"";"";"1";"144";"2";"2";"0";"03019217";"Expte. N° 359/2011.
Expte. N° 24/2012, se modifica estado a ACTIVO.... pedido de Sara Cabrera";"9";"2010";NULL;NULL;"2"
"07";".";"099";"386";"UM";"U.M. ATENCIÓN PRIMARIA EN SALUD";"";"";"";"";"1";"601";"0";"1";"0";"07099386";"                ";"3";"2011";NULL;NULL;"2"
"10";".";"001";"335";"USF";"USF - KM. 4 MONDAY - CODECO";"";"";"";"";"1";"3034";"103";"2";"0";"10001335";"";"9";"2010";NULL;NULL;"2"
"16";".";"002";"338";"PS";"P.S. MISION ESTEROS";".";".";".";".";"1";"93";"0";"1";"0";"16002338";"                ";"1";"2009";NULL;NULL;"2"
"01";".";"001";"535";"USF";"USF- UNIDAD INDIGENA 2";"";"";"";"";"1";"865";"0";"2";"0";"01001535";"SIMESE 3297/14, CAMBIO DE DISTRITO Y NOMBRE";"9";"2010";NULL;NULL;"2"
"12";".";"013";"369";"PS";"P.S. PASO CANOA";".";".";".";".";"1";"0";"0";"2";"0";"12013369";"          SIMESE N° 228/2014      ";"1";"2009";NULL;NULL;"2"
"15";".";"007";"318";"PS";"P.S. NUEVA VIDA";"";"";"";"";"1";"0";"0";"1";"0";"15007318";"                ";"1";"2010";NULL;NULL;"2"
"16";".";"002";"428";"PS";"P.S. SAN RAMON (CAMPO LOA JOTOICHA)";"";"";"";"";"1";"28";"0";"2";"0";"16002428";"          Expte. 6/2012. ADM. LIC. AVALOS      ";"1";"2000";NULL;NULL;"2"
"18";".";"030";"248";"USF";"USF- CERRO POTY ";"";"";"";"";"1";"1";"0";"2";"0";"18030248";"EXPTE. N° 107/2012. (BO. JUKYTY)
SIMESE N° 1358/13";"9";"2012";NULL;NULL;"2"
"11";".";"002";"217";"USF";"USF- URUGUAY";"";"";"";"";"1";"8286";"1888";"1";"0";"11002217";"";"9";"2010";NULL;NULL;"2"
"15";".";"001";"315";"PS";"P.S. AVALOS SÁNCHEZ";"";"";"";"";"1";"0";"0";"2";"0";"15001315";"                ";"1";"2000";NULL;NULL;"2"
"05";".";"011";"369";"USF";"USF-VIRGEN DEL ROSARIO";".";".";".";".";"1";"694";"78";"2";"0";"05011369";"Expte. 165/2012";"1";"2010";NULL;NULL;"2"
"16";".";"002";"103";"HP";"NEULAND (HOSPITAL PRIVADO)";"";"";"";"";"1";"65";"0";"1";"0";"16002103";"";"1";"2000";NULL;NULL;"2"
"04";".";"003";"702";"IPS";"IPS- PS USUFRUCTO M.J. TROCHE";"";"";"";"";"1";"5";"0";"1";"0";"04003702";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"11";".";"007";"333";"USF";"USF- ASENT. SAN JOSE";"";"";"";"";"1";"0";"0";"2";"0";"11007333";"Expte. N° 476/2013
SIMESE 1381/2013";"4";"2013";NULL;NULL;"2"
"11";".";"017";"A27";"HP";"SERVICIOS MEDICOS";"";"";"";"";"0";"0";"0";"1";"0";"11017A27";"digies@mspbs.gov.py";"11";"2019";"0.0000000";"0.0000000";"0"
"10";".";"004";"A20";"IP";"CLINICA SANTA ISABEL";"DORIS DUARTE";"";"";"";"1";"0";"0";"1";"0";"10004A20";"SIMESE N 127809/17";"10";"2017";NULL;NULL;"2"
"15";".";"003";"320";"PS";"P.S. TUPASYRENDA";"";"";"";"";"1";"0";"0";"1";"0";"15003320";"                ";"1";"2010";NULL;NULL;"2"
"02";"SUR";"008";"A21";"HP";"SANATORIO PIÑANEZ";"";"";"";"";"0";"0";"0";"1";"0";"02008A21";"digies@mspbs.gov.py";"12";"2019";"0.0000000";"0.0000000";"0"
"01";".";"007";"541";"DISP";"D.M. SAN FRANCISCO - ";".";".";".";".";"1";"0";"0";"1";"0";"01007541";"                ";"1";"2000";NULL;NULL;"2"
"16";".";"002";"604";"PS";"P.S. SAN LEONARDO FICHAT";"";"";"";"";"1";"0";"0";"2";"0";"16002604";"                ";"1";"2000";NULL;NULL;"2"
"16";".";"005";"102";"HP";"H.P. LOMA PLATA ";".";".";".";".";"1";"189";"0";"1";"0";"16005102";"                ";"1";"2010";NULL;NULL;"2"
"15";".";"004";"618";"DI";"D.I. YAKIE AXA";"";"";"";"";"1";"186";"0";"1";"0";"15004618";"                ";"1";"2010";NULL;NULL;"2"
"14";".";"003";"392";"DI";"DI- PASO REAL";"";"";"";"";"1";"262";"0";"1";"0";"14003392";"SIMESE N 79161/2016 - PASA A SER D.I.
SIMESE N° 5695/2014
SIMESE 31966/2014";"3";"2014";NULL;NULL;"2"
"07";".";"001";"214";"HE";"HOSP. PEDIATRICO MUNICIPAL";".";".";".";".";"1";"6052";"0";"1";"0";"07001214";"";"3";"2011";NULL;NULL;"2"
"11";".";"009";"392";"USF";"USF- ITAPUAMI";"";"";"";"";"1";"0";"0";"2";"0";"11009392";"Expte. N° 476/2013
SIMESE 1381/2013";"4";"2013";NULL;NULL;"2"
"16";".";"004";"322";"HP";"HOSPITAL DE FILADELFIA";".";".";".";".";"1";"51";"0";"1";"0";"16004322";"";"1";"2009";NULL;NULL;"2"
"11";".";"014";"393";"USF";"USF- BO. BARCEQUILLO ASENT. 15 DE JUNIO";"";"";"";"";"1";"0";"0";"2";"0";"11014393";"Expte. N° 476/2013
SIMESE 1381/2013";"4";"2013";NULL;NULL;"2"
"07";".";"020";"222";"USF";"USF- FLEITAS CUE";"";"";"";"";"1";"211";"0";"2";"0";"07020222";"Expte. N° 61/2012, inactivo Expte. N° 204/2012";"9";"2012";NULL;NULL;"2"
"02";"SUR";"017";"356";"USF";"USF- SAN JOSE OBRERO";"";"";"";"";"1";"0";"0";"2";"0";"02017356";"SIMESE N° 1689/2013";"9";"2010";NULL;NULL;"2"
"01";".";"007";"A13";"HP";"CLINICA SAN ANTONIO";"";"";"";"";"0";"0";"0";"1";"0";"01007A13";"digies@mspbs.gov.py";"12";"2019";"0.0000000";"0.0000000";"0"
"06";".";"007";"356";"PS";"P.S. ÑU PYAHÚ";"";"";"";"";"1";"468";"0";"1";"0";"06007356";"                ";"1";"2000";NULL;NULL;"2"
"07";".";"014";"395";"UM";"USF- HOHENAU 4 CAGUARENE";"";"";"";"";"1";"113";"0";"1";"0";"07014395";"Expte. N° 482/2013";"5";"2013";NULL;NULL;"2"
"11";".";"002";"254";"USF";"USF- SAN BLAS";"";"";"";"";"1";"0";"0";"2";"0";"11002254";"EXPTE. N° 157/2013
SIMESE 1381/2013";"2";"2013";NULL;NULL;"2"
"12";".";"006";"363";"PS";"P.S. POTRERO PIRU";".";".";".";".";"1";"0";"0";"2";"0";"12006363";"          SIMESE N° 228/2014      ";"1";"2009";NULL;NULL;"2"
"14";".";"003";"370";"PS";"SANTA CATALINA";".";".";".";".";"1";"0";"0";"2";"0";"14003370";"SIMESE N° 5695/2014 ";"1";"2009";NULL;NULL;"2"
"10";".";"001";"365";"USF";"USF-BARRIO OBRERO";"";"";"";"";"1";"6689";"376";"2";"0";"10001365";"EXPTE. N° 363/2011
SIMESE 31966/2014";"10";"2011";NULL;NULL;"2"
"10";".";"005";"120";"USF";"USF-TORYVETE";"";"";"";"";"1";"2960";"16";"2";"0";"10005120";"SIMESE N° 15798/2014";"7";"2011";NULL;NULL;"2"
"09";".";"016";"335";"PS";"P.S. SANTA ANGELA";"";"";"";"";"1";"786";"0";"1";"0";"09016335";"                ";"1";"2000";NULL;NULL;"2"
"15";".";"001";"313";"PS";"P.S. RIO VERDE";"";"";"";"";"1";"0";"0";"2";"0";"15001313";"                ";"1";"2000";NULL;NULL;"2"
"11";".";"015";"249";"USF";"USF- VILLA BONITA 1";"";"";"";"";"1";"13554";"0";"2";"0";"11015249";"SIMESE 31966/2014";"9";"2010";NULL;NULL;"2"
"15";".";"001";"316";"DISP";"D.M. LA PATRIA (LA LEONA)";"";"";"";"";"1";"0";"0";"2";"0";"15001316";"                ";"1";"2000";NULL;NULL;"2"
"16";".";"002";"703";"IPS";"IPS- PS CONVENIO VILLA CHOFERES";"";"";"";"";"1";"2";"0";"1";"0";"16002703";"SIMESE N° 19453/15";"4";"2015";NULL;NULL;"2"
"18";".";"030";"402";"HE";"POLICLINICO POLICIAL";NULL;"MCAL. LOPEZ C/ KUBISCHET";NULL;NULL;"1";"1";"0";"1";"0";"18030402";NULL;"1";"2000";NULL;NULL;"2"
"15";".";"007";"606";"DI";"D.I.- LOMA PYTA";"";"";"";"";"1";"0";"0";"1";"0";"15006606";"solicitud enviada por correo al Lic. Espinoza (07/04/17)    ";"4";"2017";NULL;NULL;"2"
"07";".";"015";"343";"PS";"P.S. CARUMBÉY";"";"";"";"";"1";"548";"0";"1";"0";"07015343";"                ";"1";"2000";"-27.0657392";"-55.8154890";"2"
"01";".";"001";"A04";"HP";"CENTRO MEDICO SANTA ISABEL";"";"";"";"";"0";"0";"0";"1";"0";"01001A04";"digies@mspbs.gov.py";"11";"2019";"0.0000000";"0.0000000";"0"
"14";".";"003";"350";"USF";"USF- YBY PYTA I";"";"";"986256808";"";"1";"2707";"0";"2";"0";"14003350";"SIMESE Nº 93361/2015
Expte. N° 388/2011";"10";"2011";"-24.4037500";"-55.3932500";"2"
"04";".";"007";"703";"IPS";"IPS- US COLONIA INDEPENDENCIA";"";"";"";"";"1";"0";"0";"1";"0";"04007703";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"04";".";"009";"704";"IPS";"IPS- US ITURBE";"";"";"";"";"1";"0";"0";"1";"0";"04009704";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"04";".";"010";"705";"IPS";"IPS- PS CONVENIO JOSE FASSARDI";"";"";"";"";"1";"0";"0";"1";"0";"04010705";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"04";".";"017";"706";"IPS";"IPS- PS PASO YOBAI";"";"";"";"";"1";"0";"0";"1";"0";"04017706";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"06";".";"001";"702";"IPS";"IPS- US CAAZAPA";"";"";"";"";"1";"69";"0";"1";"0";"06001702";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"05";".";"001";"701";"IPS";"IPS- HR CNEL. OVIEDO";"";"";"";"";"1";"0";"0";"1";"0";"05001701";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"18";".";"030";"A24";"HP";"SANATORIO SAN ROQUE";"";"";"";"";"0";"0";"0";"1";"0";"18030A24";"digies@mspbs.gov.py";"2";"2020";"0.0000000";"0.0000000";"0"
"05";".";"001";"702";"IPS";"IPS- SMT SANATORIO LUZ YVIDA";"";"";"";"";"1";"0";"0";"1";"0";"05001702";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"05";".";"002";"703";"IPS";"IPS- US CAAGUAZU";"";"";"";"";"1";"0";"0";"1";"0";"05002703";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"05";".";"006";"704";"IPS";"IPS- PS DR. J.M. FRUTOS";"";"";"";"";"1";"0";"0";"1";"0";"05006704";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"05";".";"010";"705";"IPS";"IPS- PS SAN JOSE DE LOS ARROYOS";"";"";"";"";"1";"0";"0";"1";"0";"05010705";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"05";".";"011";"706";"IPS";"IPS- PS YHU";"";"";"";"";"1";"0";"0";"1";"0";"05011706";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"06";".";"009";"705";"IPS";"IPS- PS YEGROS";"";"";"";"";"1";"0";"0";"1";"0";"06009705";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"01";".";"003";"A06";"HP";"SANATORIO SAN ANTONIO";"";"";"";"";"0";"0";"0";"1";"0";"01003A06";"digies@mspbs.gov.py";"11";"2019";"0.0000000";"0.0000000";"0"
"01";".";"003";"A07";"HP";"SANATORIO SAN PABLO";"";"";"";"";"0";"0";"0";"1";"0";"01003A07";"digies@mspbs.gov.py";"11";"2019";"0.0000000";"0.0000000";"0"
"06";".";"010";"706";"IPS";"IPS- PS YUTY";"";"";"";"";"1";"0";"0";"1";"0";"06010706";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"06";".";"003";"703";"IPS";"IPS- PS CONVENIO BUENA VISTA";"";"";"";"";"1";"0";"0";"1";"0";"06003703";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"001";"701";"IPS";"IPS- HR ENCARNACION";"";"";"";"";"1";"0";"0";"1";"0";"07001701";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"001";"702";"IPS";"IPS- PS CONVENIO MA. AUXILIADORA";"";"";"";"";"1";"0";"0";"1";"0";"07001702";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"029";"718";"IPS";"IPS- PS CONVENIO PIRAPO";"";"";"";"";"1";"78";"0";"1";"0";"07029718";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"002";"703";"IPS";"IPS- PS CONVENIO BELLA VISTA";"";"";"";"";"1";"0";"0";"1";"0";"07002703";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"005";"705";"IPS";"IPS- PS CONVENIO CAP. MIRANDA";"";"";"";"";"1";"0";"0";"1";"0";"07005705";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"007";"706";"IPS";"IPS- PS CONVENIO CARMEN DEL PARANA";"";"";"";"";"1";"0";"0";"1";"0";"07007706";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"008";"707";"IPS";"IPS- PS CONVENIO CNEL. BOGADO";"";"";"";"";"1";"0";"0";"1";"0";"07008707";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"012";"711";"IPS";"IPS- PS CONVENIO GRAL. ARTIGAS";"";"";"";"";"1";"101";"0";"1";"0";"07012711";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"010";"709";"IPS";"IPS- PS CONVENIO NATALIO";"";"";"";"";"1";"0";"0";"1";"0";"07010709";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"011";"710";"IPS";"IPS- PS CONVENIO FRAM";"";"";"";"";"1";"0";"0";"1";"0";"07011710";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"014";"712";"IPS";"IPS- US HOHENAU";"";"";"";"";"1";"0";"0";"1";"0";"07014712";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"018";"713";"IPS";"IPS- PS CONVENIO MAYOR OTAÑO";"";"";"";"";"1";"0";"0";"1";"0";"07018713";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"019";"714";"IPS";"IPS- PS CONVENIO SAN COSME Y SAN DAMIAN";"";"";"";"";"1";"0";"0";"1";"0";"07019714";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"020";"715";"IPS";"IPS- PS CONVENIO SAN PEDRO DEL PARANA";"";"";"";"";"1";"0";"0";"1";"0";"07020715";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"023";"716";"IPS";"IPS- PS CONVENIO EDELIRA KM28";"";"";"";"";"1";"0";"0";"1";"0";"07023716";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
"07";".";"027";"717";"IPS";"IPS- PS CONVENIO YATAYTY";"";"";"";"";"1";"0";"0";"1";"0";"07027717";"SIMESE N° 19453/2015";"4";"2015";NULL;NULL;"2"
